Leaning,Trump,Biden,Crackdown,Policy,Enforcement,ICE,Deportation,Rights,Misinformation,Sanctuary,Raids,Vetting,Asylum,Security,Controversy,Freedom,Justice,Court,Law,National,Border,Visas,Undocumented,Activists,Government,Exploitation,Hostility,Corruption,Safety,Surveillance
0,0.2710285798,0,0.2153547509,0,0.1317948955,0.2845553026,0,0.1928289115,0,0,0,0,0,0,0,0,0.4059157738,0.5784867346,0.2313370882,0,0.1644497102,0,0.1543207348,0,0,0,0,0,0,0
1,0.4065428697,0,0,0,0,0.4268329539,0,0,0,0,0,0,0,0,0,0,0.3044368304,0.867730102,0,0,0,0,0.2314811023,0,0,0,0,0,0,0
1,0.8130857395,0,0,0,0,0,0,0,0,0,0,0,0,0.5784867346,0,0,0,0,0,0.5527949547,0,0,0,0,0,0,0,0,0,0
0,1.219628609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8130857395,0,0,0,0,0,0.772746966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.219628609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.4878514437,0,0,0,0,1.024399089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6098143046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.284766348,0
0,0,0,0,0,0,1.707331816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.09381758532,0,0,0,0,1.050665733,0,0,0,0,0,0,0,0.2669938775,0,0,0,0.2669938775,0,0,0.2276995988,0,0.2136748636,0,0,0,0,0,0,0
0,0.4878514437,0,0,0,0,0,0.4636481796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7752771032,0,0,0,0.6633539456
0,0.6098143046,0,0,0,1.18615406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6098143046,0,0,0,0,0.2845553026,0.386373483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5527949547
0,0.6098143046,0,0,0,0,0.8536659078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.790769373,0,0,0,0,2.435494643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6098143046,0,0,0,0,0,0,0,0,1.826620982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3658885828,0,0.3876385516,0,0,0,0,0,0,0,0,1.249220277,0,0,0,0,0,0,0,0.3316769728,0,0.4164067588,0,0,0,0,0,0,0,0.3316769728
