Document Name,Protest,Raid,Arrest,Immigration,Enforcement,Violence,Detention,Rights,Safety,Surveillance,Controversy,Inhumane,Resistance,Authority,Fear,Protect,Clash,Stereotype,Cruel,Exploitation,Tragedy,Legal,Investigation,Illegal,Death
0,0.3183094005,0,0.8745408491,0.3497334273,0.2518830671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3856578231,0,0.2270893391,0
1,0,0,1.311811274,0.2623000705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6812680174,0
1,0.9549282014,0,0,0.524600141,0.7556492012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.5247245095,0.3147600846,0.4533895207,0,0,0,0,0,0,0,0,0.7752771032,0,0,0,0,0,0,0,0,0,0.4087608104,0
0,0,0,0,0,0,0,1.388886614,0,0,0,0,1.735460204,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.7869002115,1.133473802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.432392302,0,0,0,0,0,0,0,0,1.938192758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.133473802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.735460204,0,0,0
1,0,0,0,0,2.266947603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0
0,0,0,0.2186352123,0.6557501762,0.1889123003,0,0.2314811023,0,0,0,0,0,0,0,0,0,0,0,0,0.7615887827,0,0.2892433673,0,0.1703170043,0
0,0.4092549435,0,0.3748032211,0.6744858955,0,0,0,0,0,0.5537693594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2919720075,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4.164067588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.7161961511,0,0.6559056369,0,0,0,0.6944433068,0.9133104912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.876385516,0,0,0,0,0,0,0,0,0,0,0
1,0.4297176906,0.4975154592,0,0.3934501057,0.2266947603,0,0,0,0,0,0,0.3470920408,0,0.3876385516,0.1938192758,0,0.1826620982,0,0,0,0,0,0,0.1021902026,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.3934501057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.532853039,0
0,0,0,1.874016105,0.2248286318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2919720075,0
0,0,0.829192432,0,0.3934501057,0.5667369009,0,0,0,0,0,0,0,0,0,0.969096379,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.5555546455,1.461296786,0,0,0,0.6941840816,0,0,0,0,0,0,0.7306483929,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1.311811274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.4092549435,0.4738242469,0.3748032211,0.2248286318,0.3238496576,0,0,0,0,0,0,0,0,0,0,0,0.5218917092,0,0,0,0,0,0,0.2919720075,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.6944433068,0,0,0,0,0.867730102,0,0,0,0,0,1.142383174,0.9133104912,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.2248286318,0.3238496576,0,0.7936494935,0,0,0,0,0.4958457725,0,0,0,0,0,0,0.5218917092,0,0,0,0,0.2919720075,0
1,0,0,0,0,0.7556492012,0,0.9259244091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6812680174,0
0,0.5729569208,0.6633539456,0,0.3147600846,0.4533895207,0,0,0,0,0,0,0,0,0,0,0,0.7306483929,0,0,0,0,0,0,0,0
1,0.4774641007,0.5527949547,0.4372704246,0,0.3778246006,0,0,0,0,0,0,0,0,0,0,0,0.6088736608,0,0,0,0,0,0,0.3406340087,0
